time, x, y, z
45.393, -0.337756, -1.2928e-05, 0.437505
45.403, -0.337756, -1.29376e-05, 0.437505
45.413, -0.337756, -1.28005e-05, 0.437505
45.423, -0.337755, -1.28129e-05, 0.437505
45.434, -0.337754, -1.28202e-05, 0.437508
45.443, -0.337754, -1.29224e-05, 0.437508
45.453, -0.337756, -1.29343e-05, 0.437502
45.463, -0.337756, -1.27986e-05, 0.437502
45.474, -0.337756, -1.28104e-05, 0.437502
45.483, -0.337755, -1.28192e-05, 0.437504
45.493, -0.337755, -1.29195e-05, 0.437504
45.503, -0.337755, -1.29325e-05, 0.437504
45.513, -0.338758, 0.00131721, 0.43541
45.523, -0.340746, 0.00277342, 0.43174
45.534, -0.342677, 0.00413374, 0.427954
45.543, -0.344434, 0.0055144, 0.424415
45.553, -0.34611, 0.00695591, 0.420933
45.563, -0.347775, 0.00843143, 0.417401
45.573, -0.349415, 0.00994173, 0.413831
45.583, -0.351018, 0.0114919, 0.410248
45.593, -0.352581, 0.0130771, 0.406655
45.603, -0.354106, 0.0146999, 0.403052
45.613, -0.355592, 0.0163612, 0.399439
45.624, -0.357039, 0.0180589, 0.395819
45.633, -0.358445, 0.0197936, 0.392194
45.643, -0.359808, 0.0215638, 0.388567
45.653, -0.361131, 0.0233657, 0.384939
45.663, -0.362411, 0.0252016, 0.381315
45.673, -0.363663, 0.027072, 0.377713
45.683, -0.364907, 0.0289733, 0.37413
45.693, -0.366213, 0.030915, 0.370617
45.703, -0.367558, 0.0328959, 0.367149
45.713, -0.368956, 0.0349099, 0.363728
45.723, -0.370405, 0.0369583, 0.360353
45.733, -0.371911, 0.0390403, 0.357019
45.743, -0.373461, 0.0411517, 0.353733
45.753, -0.375062, 0.0432909, 0.350494
45.763, -0.376717, 0.0454651, 0.347307
45.773, -0.378425, 0.0476645, 0.344169
45.784, -0.380184, 0.049893, 0.341081
45.793, -0.38201, 0.0521507, 0.338037
45.803, -0.383884, 0.0544287, 0.335049
45.814, -0.385812, 0.0567347, 0.332113
45.823, -0.387795, 0.0590567, 0.329229
45.833, -0.38982, 0.0613737, 0.326424
45.843, -0.391862, 0.063644, 0.323733
45.853, -0.3939, 0.0658627, 0.321161
45.863, -0.395946, 0.068048, 0.318683
45.873, -0.397984, 0.0701867, 0.316318
45.883, -0.400018, 0.0722906, 0.314048
45.893, -0.402051, 0.0743462, 0.311875
45.904, -0.404076, 0.0763665, 0.309796
45.913, -0.406097, 0.0783368, 0.30781
45.923, -0.408122, 0.0802746, 0.305896
45.933, -0.410131, 0.082163, 0.304074
45.943, -0.412132, 0.084021, 0.302328
45.953, -0.414125, 0.0858404, 0.300644
