time, x, y, z
17.44, -0.405691, -6.17506e-06, 0.477175
17.45, -0.40569, -6.16118e-06, 0.477174
17.46, -0.405732, 0.00155534, 0.47665
17.47, -0.407083, 0.00350298, 0.476323
17.48, -0.408621, 0.00548731, 0.475382
17.49, -0.410063, 0.00738917, 0.474446
17.5, -0.41142, 0.00931569, 0.473572
17.51, -0.412754, 0.0112397, 0.472687
17.52, -0.414079, 0.0131643, 0.471768
17.531, -0.41539, 0.0150919, 0.470822
17.54, -0.416936, 0.0170333, 0.469494
17.55, -0.417147, 0.0189751, 0.466113
17.56, -0.417351, 0.0209256, 0.463783
17.57, -0.417469, 0.0228994, 0.461683
17.58, -0.417607, 0.0248972, 0.459525
17.59, -0.417746, 0.0269114, 0.457337
17.6, -0.417858, 0.0289466, 0.455161
17.61, -0.417944, 0.0310003, 0.453003
17.62, -0.418007, 0.033073, 0.450855
17.63, -0.41805, 0.0351632, 0.448714
17.641, -0.418071, 0.0372744, 0.446583
17.65, -0.41807, 0.0394037, 0.444462
17.66, -0.418047, 0.0415518, 0.442353
17.67, -0.418002, 0.0437185, 0.440253
17.68, -0.417935, 0.0459038, 0.438163
17.69, -0.417846, 0.0481076, 0.436083
17.7, -0.417734, 0.0503298, 0.434014
17.71, -0.417601, 0.0525693, 0.431953
17.72, -0.417446, 0.0548298, 0.429904
17.73, -0.417267, 0.0571066, 0.427868
17.74, -0.417066, 0.059383, 0.425852
17.75, -0.416842, 0.0616539, 0.423863
17.761, -0.416593, 0.0639205, 0.421904
17.77, -0.41632, 0.0661835, 0.419974
17.78, -0.416024, 0.068442, 0.418069
17.79, -0.415707, 0.0706978, 0.416187
17.801, -0.415369, 0.0729469, 0.414333
17.81, -0.415009, 0.0751912, 0.412505
17.82, -0.414628, 0.0774313, 0.4107
17.831, -0.414229, 0.0796637, 0.408922
17.84, -0.413808, 0.0818903, 0.407169
17.85, -0.413369, 0.0841116, 0.405438
17.86, -0.412912, 0.0863243, 0.403734
17.87, -0.412436, 0.0885302, 0.402054
17.88, -0.411943, 0.0907282, 0.400398
17.89, -0.411432, 0.0929185, 0.398766
17.9, -0.410904, 0.0951006, 0.397156
17.91, -0.410361, 0.0972744, 0.39557
17.92, -0.409801, 0.0994395, 0.394007
17.931, -0.409226, 0.101596, 0.392466
17.94, -0.408637, 0.103743, 0.390947
17.95, -0.408032, 0.105882, 0.389448
17.96, -0.407414, 0.108007, 0.387973
17.97, -0.406784, 0.110125, 0.386517
17.98, -0.406138, 0.112233, 0.385086
17.99, -0.405479, 0.114334, 0.383672
18, -0.40481, 0.116421, 0.38228
18.01, -0.404126, 0.118497, 0.38091
18.02, -0.403432, 0.120561, 0.37956
18.03, -0.402726, 0.122614, 0.378229
18.04, -0.402011, 0.124656, 0.376917
18.05, -0.401284, 0.126687, 0.375627
18.06, -0.400547, 0.128705, 0.374356
18.07, -0.3998, 0.130712, 0.373103
18.081, -0.39904, 0.132707, 0.371879
18.09, -0.398278, 0.134689, 0.370654
18.1, -0.397501, 0.13666, 0.369462
18.11, -0.39672, 0.13862, 0.368276
18.12, -0.395929, 0.140564, 0.367115
18.13, -0.39513, 0.142499, 0.365969
18.14, -0.394325, 0.144418, 0.364842
18.15, -0.39351, 0.146321, 0.363741
18.16, -0.392692, 0.148218, 0.362639
18.17, -0.391865, 0.150097, 0.361562
18.181, -0.391034, 0.151963, 0.360501
18.19, -0.390195, 0.153819, 0.359458
18.2, -0.38935, 0.155655, 0.358435
18.21, -0.388502, 0.157482, 0.357421
18.22, -0.387647, 0.159297, 0.356423
18.23, -0.386786, 0.161096, 0.355446
18.24, -0.385924, 0.162883, 0.354477
18.25, -0.385055, 0.164657, 0.353525
18.26, -0.384183, 0.166411, 0.352593
18.27, -0.383308, 0.16816, 0.351667
18.28, -0.382428, 0.169892, 0.350758
18.29, -0.381545, 0.171607, 0.349867
18.3, -0.38066, 0.173315, 0.348982
18.31, -0.379772, 0.175006, 0.348115
18.32, -0.37888, 0.176679, 0.347264
18.33, -0.377985, 0.178345, 0.34643
18.341, -0.377093, 0.179994, 0.345593
18.35, -0.376195, 0.181631, 0.34478
18.36, -0.375296, 0.183247, 0.343986
18.37, -0.374397, 0.184858, 0.343192
18.381, -0.373494, 0.186455, 0.342415
18.391, -0.372591, 0.188031, 0.341654
18.401, -0.371685, 0.1896, 0.340912
18.41, -0.370783, 0.191155, 0.340162
18.42, -0.369878, 0.192691, 0.339435
18.43, -0.368971, 0.194219, 0.338721
18.44, -0.368064, 0.195732, 0.338022
18.45, -0.367161, 0.197234, 0.337316
18.461, -0.366254, 0.198721, 0.336632
18.47, -0.365348, 0.200193, 0.335963
18.48, -0.36444, 0.201656, 0.335307
18.49, -0.363537, 0.203106, 0.334646
18.5, -0.362632, 0.204543, 0.334003
18.51, -0.361725, 0.205968, 0.333372
18.52, -0.360821, 0.207378, 0.332756
18.531, -0.359919, 0.208778, 0.332138
18.54, -0.359019, 0.210164, 0.331534
18.55, -0.358118, 0.211536, 0.330941
18.56, -0.357216, 0.2129, 0.330357
18.57, -0.356319, 0.214246, 0.329785
18.58, -0.355422, 0.215585, 0.329224
18.59, -0.354527, 0.216915, 0.328658
18.6, -0.353635, 0.218227, 0.328108
18.609, -0.352739, 0.219534, 0.327567
18.62, -0.351853, 0.220819, 0.327037
18.63, -0.350961, 0.222099, 0.326517
18.64, -0.350073, 0.223371, 0.326001
18.65, -0.349189, 0.224628, 0.325497
18.66, -0.348306, 0.225874, 0.325
18.67, -0.347426, 0.227112, 0.324496
18.681, -0.346548, 0.228336, 0.324011
18.69, -0.345671, 0.22955, 0.323534
18.7, -0.344794, 0.230757, 0.323064
18.71, -0.343923, 0.231948, 0.322601
18.72, -0.343051, 0.233134, 0.322144
18.73, -0.342187, 0.234306, 0.321695
18.741, -0.341323, 0.235469, 0.321254
18.75, -0.340458, 0.236623, 0.320821
18.76, -0.339592, 0.23776, 0.32039
18.77, -0.338732, 0.238897, 0.319969
18.781, -0.337876, 0.240024, 0.319556
18.79, -0.337023, 0.241135, 0.319149
18.8, -0.336174, 0.242241, 0.318747
18.81, -0.335325, 0.243339, 0.318337
18.821, -0.334477, 0.244428, 0.317944
18.83, -0.333635, 0.245508, 0.317561
18.84, -0.332794, 0.246574, 0.31718
18.85, -0.331957, 0.247634, 0.316805
18.86, -0.33112, 0.248684, 0.316435
18.87, -0.330285, 0.249723, 0.316072
18.88, -0.329454, 0.250762, 0.315715
18.89, -0.328625, 0.25179, 0.315363
18.9, -0.327796, 0.252801, 0.315016
18.91, -0.326977, 0.253813, 0.314678
18.92, -0.326161, 0.254819, 0.314328
18.93, -0.325342, 0.255816, 0.313995
18.94, -0.324528, 0.256797, 0.313665
18.95, -0.323713, 0.257774, 0.313342
18.96, -0.322905, 0.258741, 0.313026
18.971, -0.322094, 0.259707, 0.312716
18.98, -0.321295, 0.260663, 0.312395
18.99, -0.320491, 0.261614, 0.312088
19, -0.319693, 0.262549, 0.311787
19.01, -0.318896, 0.263484, 0.311494
19.02, -0.318103, 0.264405, 0.311214
19.03, -0.317313, 0.265326, 0.310903
19.04, -0.316526, 0.266239, 0.310618
19.05, -0.315745, 0.267139, 0.310349
19.06, -0.31496, 0.268039, 0.310058
19.07, -0.314177, 0.268935, 0.309785
19.08, -0.313402, 0.26981, 0.309527
19.091, -0.312632, 0.270692, 0.309243
19.1, -0.311862, 0.271567, 0.308988
19.11, -0.311095, 0.272433, 0.308717
19.12, -0.310325, 0.273287, 0.308465
19.13, -0.309563, 0.274132, 0.308222
19.14, -0.308812, 0.274982, 0.30796
19.15, -0.308055, 0.275826, 0.307713
19.16, -0.307305, 0.276659, 0.307452
19.17, -0.306556, 0.277488, 0.307219
19.18, -0.305816, 0.278306, 0.306968
19.19, -0.305073, 0.27912, 0.306731
19.2, -0.304336, 0.279931, 0.306497
19.21, -0.303602, 0.280734, 0.306264
19.22, -0.302793, 0.281616, 0.306012
19.231, -0.302142, 0.282324, 0.30581
19.24, -0.301418, 0.283109, 0.30559
19.25, -0.300706, 0.283899, 0.305388
19.26, -0.3, 0.284692, 0.305164
19.27, -0.29931, 0.285485, 0.304958
19.281, -0.29863, 0.286277, 0.304756
19.29, -0.297965, 0.287067, 0.304553
19.3, -0.297304, 0.287863, 0.304357
19.311, -0.296662, 0.288668, 0.304155
19.32, -0.296034, 0.289466, 0.303967
19.33, -0.295406, 0.290265, 0.303785
19.341, -0.294796, 0.291074, 0.3036
19.351, -0.294201, 0.291877, 0.303426
19.36, -0.293615, 0.292689, 0.303259
19.37, -0.293038, 0.293487, 0.303096
19.38, -0.29247, 0.294305, 0.302918
19.391, -0.291914, 0.295114, 0.302754
19.4, -0.291373, 0.295923, 0.302594
19.41, -0.290834, 0.296722, 0.302437
19.42, -0.290312, 0.297544, 0.302295
19.43, -0.2898, 0.298358, 0.30213
19.44, -0.289301, 0.299168, 0.301981
19.45, -0.288809, 0.299987, 0.301839
19.461, -0.288329, 0.300794, 0.301697
19.47, -0.287852, 0.301607, 0.301562
19.48, -0.287392, 0.302419, 0.301428
19.49, -0.286945, 0.30324, 0.301282
19.5, -0.286495, 0.304054, 0.301147
19.51, -0.286066, 0.304868, 0.301019
19.52, -0.285643, 0.305679, 0.300895
19.53, -0.285217, 0.306492, 0.300773
19.54, -0.284813, 0.307307, 0.300658
19.55, -0.28442, 0.308129, 0.300526
19.56, -0.284022, 0.308945, 0.300404
19.57, -0.283645, 0.30976, 0.300292
19.581, -0.283271, 0.31058, 0.300181
19.59, -0.282907, 0.311388, 0.300068
19.6, -0.282545, 0.312204, 0.299959
19.61, -0.282191, 0.313016, 0.299854
19.62, -0.281855, 0.313828, 0.299754
19.63, -0.281522, 0.314644, 0.299655
19.64, -0.281203, 0.315464, 0.299543
19.651, -0.280886, 0.316276, 0.299443
19.66, -0.280573, 0.317086, 0.299345
19.67, -0.280269, 0.317903, 0.299252
19.68, -0.279977, 0.31871, 0.299158
19.69, -0.279687, 0.319518, 0.299067
19.7, -0.279411, 0.320326, 0.298979
19.71, -0.279135, 0.321138, 0.298893
19.721, -0.278867, 0.321946, 0.29881
19.73, -0.27861, 0.322745, 0.298728
19.74, -0.278363, 0.323556, 0.298652
19.75, -0.278122, 0.324362, 0.298557
19.76, -0.277879, 0.325166, 0.298474
19.77, -0.27765, 0.325969, 0.298399
19.78, -0.277428, 0.326773, 0.298325
19.79, -0.277212, 0.327565, 0.29825
19.8, -0.277002, 0.328365, 0.298178
19.81, -0.2768, 0.329161, 0.298108
19.82, -0.276598, 0.329959, 0.298039
19.83, -0.276401, 0.330749, 0.297971
19.84, -0.276219, 0.331539, 0.297908
19.85, -0.276038, 0.332332, 0.297844
19.86, -0.275867, 0.333126, 0.297766
19.871, -0.275697, 0.333914, 0.297701
19.88, -0.275537, 0.334707, 0.297641
19.89, -0.275373, 0.335495, 0.297579
19.9, -0.275222, 0.336282, 0.297522
19.911, -0.275075, 0.337061, 0.297461
19.92, -0.274934, 0.337838, 0.297404
19.93, -0.274795, 0.33862, 0.29735
19.941, -0.274668, 0.339395, 0.297299
19.95, -0.274537, 0.340176, 0.297248
19.96, -0.274419, 0.340952, 0.297197
19.97, -0.274308, 0.341733, 0.297132
19.981, -0.274198, 0.342507, 0.297081
19.99, -0.27409, 0.343275, 0.29703
20, -0.273986, 0.34405, 0.296981
20.011, -0.273892, 0.344818, 0.296934
20.02, -0.273804, 0.345584, 0.296889
20.03, -0.273722, 0.346346, 0.296844
20.04, -0.273634, 0.347106, 0.296798
20.051, -0.273554, 0.347865, 0.296755
20.06, -0.273488, 0.348622, 0.296716
20.07, -0.273423, 0.349381, 0.296679
20.081, -0.273364, 0.350142, 0.296623
20.091, -0.273302, 0.350891, 0.29658
20.1, -0.273248, 0.351641, 0.29654
20.111, -0.273195, 0.352396, 0.296501
20.12, -0.273154, 0.353139, 0.296464
20.13, -0.273109, 0.353882, 0.296427
