time, x, y, z
106.863, -0.351013, 0.202632, 0.476493
106.873, -0.351013, 0.202632, 0.476493
106.883, -0.351013, 0.202632, 0.476493
106.893, -0.351012, 0.202632, 0.476493
106.904, -0.351012, 0.202632, 0.476493
106.914, -0.351012, 0.202632, 0.476493
106.924, -0.351012, 0.202632, 0.476493
106.934, -0.351012, 0.202632, 0.476493
106.943, -0.351012, 0.202632, 0.476493
106.954, -0.351012, 0.202632, 0.476493
106.963, -0.351012, 0.202632, 0.476493
106.973, -0.351012, 0.202632, 0.476493
106.984, -0.350132, 0.205316, 0.473649
106.993, -0.350275, 0.207357, 0.470619
107.003, -0.350391, 0.209452, 0.46758
107.013, -0.350395, 0.211561, 0.464567
107.023, -0.350389, 0.21364, 0.461562
107.033, -0.350392, 0.21568, 0.458543
107.043, -0.350393, 0.217701, 0.455531
107.054, -0.350387, 0.219689, 0.452513
107.063, -0.350369, 0.221649, 0.449497
107.073, -0.350339, 0.223564, 0.446493
107.083, -0.35029, 0.225439, 0.443507
107.093, -0.350222, 0.227276, 0.440539
107.103, -0.350142, 0.229067, 0.437593
107.113, -0.350044, 0.230821, 0.434669
107.123, -0.349932, 0.232533, 0.431766
107.133, -0.349806, 0.234206, 0.428887
107.143, -0.349666, 0.235839, 0.426031
107.153, -0.349512, 0.237436, 0.423199
107.163, -0.349347, 0.238992, 0.420391
107.173, -0.349171, 0.240509, 0.417611
107.183, -0.348984, 0.241987, 0.414859
107.194, -0.348789, 0.243423, 0.412138
107.203, -0.34858, 0.244827, 0.409445
107.213, -0.348365, 0.246192, 0.406781
107.223, -0.348141, 0.247521, 0.404147
107.234, -0.347911, 0.248809, 0.401548
107.244, -0.34767, 0.250068, 0.398978
107.253, -0.347424, 0.25129, 0.39644
107.263, -0.347174, 0.252476, 0.393937
107.273, -0.346915, 0.253629, 0.391467
107.284, -0.346652, 0.254751, 0.389032
107.294, -0.346382, 0.255845, 0.386626
107.303, -0.346109, 0.256908, 0.384253
107.313, -0.345844, 0.257949, 0.381928
107.323, -0.345582, 0.25897, 0.379623
107.334, -0.345325, 0.259963, 0.377364
107.343, -0.345073, 0.26094, 0.375147
107.353, -0.344853, 0.261921, 0.372959
107.363, -0.344667, 0.2629, 0.370819
107.374, -0.344519, 0.263884, 0.368722
107.384, -0.344387, 0.264865, 0.366648
107.393, -0.344292, 0.265847, 0.364618
107.403, -0.344222, 0.266833, 0.36262
107.413, -0.344181, 0.267817, 0.360663
107.423, -0.344162, 0.268798, 0.358736
107.434, -0.344169, 0.26978, 0.356848
107.444, -0.344194, 0.270766, 0.354983
107.453, -0.344243, 0.271749, 0.353157
107.463, -0.344313, 0.272729, 0.351362
107.473, -0.344405, 0.273709, 0.3496
107.483, -0.344515, 0.274688, 0.347872
107.493, -0.344646, 0.275667, 0.346181
107.503, -0.344795, 0.276646, 0.344509
107.513, -0.344959, 0.277622, 0.342874
107.523, -0.345136, 0.278594, 0.341266
107.533, -0.345332, 0.279566, 0.33969
107.543, -0.345543, 0.280534, 0.338142
107.553, -0.345771, 0.281501, 0.336628
107.564, -0.34601, 0.282463, 0.33514
107.573, -0.346258, 0.283423, 0.333678
107.583, -0.346522, 0.284381, 0.332245
107.593, -0.346797, 0.285335, 0.330838
107.604, -0.347086, 0.286287, 0.329462
107.613, -0.34738, 0.287233, 0.328108
107.623, -0.347688, 0.288177, 0.326782
107.633, -0.348004, 0.289116, 0.325482
107.643, -0.34833, 0.290052, 0.324207
107.653, -0.348667, 0.290983, 0.322961
107.663, -0.34901, 0.291908, 0.321738
107.674, -0.349358, 0.29283, 0.320537
107.683, -0.349717, 0.293748, 0.319362
107.693, -0.350082, 0.29466, 0.318209
107.703, -0.350453, 0.295567, 0.31708
107.713, -0.350833, 0.296469, 0.315978
107.723, -0.351217, 0.297365, 0.314896
107.734, -0.351606, 0.298257, 0.313838
107.743, -0.351999, 0.299143, 0.312799
107.753, -0.352398, 0.300024, 0.311782
107.763, -0.352804, 0.300899, 0.310789
107.773, -0.353212, 0.301767, 0.309816
107.784, -0.353624, 0.302631, 0.308864
107.793, -0.354038, 0.303489, 0.307929
107.803, -0.354457, 0.304342, 0.307016
107.813, -0.354881, 0.305187, 0.306124
107.824, -0.355306, 0.306027, 0.305251
107.833, -0.355732, 0.306861, 0.304396
107.843, -0.356163, 0.30769, 0.30356
107.853, -0.356596, 0.308511, 0.302742
107.863, -0.35703, 0.309323, 0.301952
107.873, -0.357467, 0.310131, 0.30117
107.884, -0.357903, 0.310933, 0.300402
107.893, -0.358346, 0.311731, 0.299656
107.903, -0.358802, 0.312527, 0.298941
107.913, -0.359254, 0.313315, 0.298241
107.923, -0.359708, 0.314094, 0.297559
107.933, -0.360163, 0.314868, 0.296896
107.943, -0.360621, 0.315637, 0.296251
107.953, -0.361083, 0.316399, 0.295625
107.964, -0.361545, 0.317154, 0.295015
107.973, -0.362013, 0.317906, 0.294426
107.983, -0.362477, 0.318648, 0.293847
107.993, -0.362947, 0.319387, 0.293289
108.003, -0.363419, 0.320119, 0.292748
108.013, -0.363893, 0.320845, 0.292223
108.023, -0.36437, 0.321567, 0.291716
108.033, -0.364842, 0.322278, 0.291218
108.043, -0.365321, 0.322988, 0.29074
108.053, -0.365797, 0.323689, 0.290271
108.063, -0.366276, 0.324386, 0.289818
108.073, -0.366757, 0.325075, 0.289381
108.084, -0.36724, 0.32576, 0.288959
108.095, -0.367721, 0.326438, 0.288547
108.103, -0.368203, 0.32711, 0.288148
108.113, -0.368689, 0.327779, 0.287764
108.123, -0.369174, 0.328439, 0.28739
108.133, -0.369656, 0.329092, 0.287029
108.143, -0.37014, 0.329739, 0.28668
108.154, -0.370625, 0.330381, 0.286344
108.163, -0.37111, 0.331018, 0.286019
108.173, -0.371596, 0.33165, 0.285704
108.183, -0.372083, 0.332275, 0.285401
108.194, -0.37257, 0.332894, 0.285109
108.203, -0.373056, 0.333507, 0.284827
108.213, -0.373543, 0.334114, 0.284555
108.223, -0.374031, 0.334716, 0.284295
108.233, -0.374517, 0.335312, 0.284045
108.243, -0.375004, 0.335902, 0.283806
108.253, -0.375492, 0.336488, 0.283575
108.263, -0.375981, 0.337072, 0.283341
108.274, -0.376468, 0.337646, 0.283125
108.283, -0.376954, 0.338214, 0.282917
108.293, -0.37744, 0.338777, 0.282718
108.303, -0.377925, 0.339334, 0.282527
108.313, -0.378411, 0.339886, 0.282344
108.323, -0.378897, 0.340431, 0.28217
108.333, -0.379382, 0.340972, 0.282004
108.343, -0.379866, 0.341508, 0.281847
108.354, -0.380351, 0.342039, 0.281698
108.363, -0.380836, 0.342565, 0.281555
