time, x, y, z
88.73, -0.351016, 0.202632, 0.47649
88.74, -0.351016, 0.202632, 0.476491
88.75, -0.351016, 0.202632, 0.476491
88.76, -0.351112, 0.203232, 0.473487
88.77, -0.351798, 0.203867, 0.470339
88.781, -0.352466, 0.204451, 0.467281
88.79, -0.353029, 0.205043, 0.464264
88.8, -0.353566, 0.205654, 0.46124
88.81, -0.354105, 0.20628, 0.458176
88.821, -0.354638, 0.206931, 0.455075
88.83, -0.355165, 0.207597, 0.451944
88.84, -0.355679, 0.208284, 0.448783
88.85, -0.356183, 0.208992, 0.445591
88.86, -0.356674, 0.209726, 0.442367
88.87, -0.357154, 0.210481, 0.439111
88.88, -0.357619, 0.211259, 0.435822
88.89, -0.358071, 0.212058, 0.432501
88.9, -0.358505, 0.212887, 0.429147
88.911, -0.358922, 0.21374, 0.42576
88.92, -0.359323, 0.214615, 0.422339
88.93, -0.359703, 0.21552, 0.418885
88.941, -0.360063, 0.21645, 0.415405
88.95, -0.3604, 0.217383, 0.411934
88.96, -0.360708, 0.218325, 0.408517
88.971, -0.360968, 0.219261, 0.405138
88.98, -0.361194, 0.220203, 0.401802
88.99, -0.361388, 0.221146, 0.398506
89, -0.361552, 0.222093, 0.395263
89.01, -0.361674, 0.223037, 0.392059
89.02, -0.361768, 0.223983, 0.388909
89.031, -0.361829, 0.224926, 0.385799
89.04, -0.36186, 0.225866, 0.382733
89.05, -0.361865, 0.226803, 0.379712
89.06, -0.361842, 0.227738, 0.376738
89.07, -0.361789, 0.228662, 0.373823
89.08, -0.361707, 0.229577, 0.370958
89.09, -0.361597, 0.230483, 0.36814
89.1, -0.361462, 0.231379, 0.365373
89.112, -0.361302, 0.232264, 0.362659
89.121, -0.361118, 0.23314, 0.359994
89.13, -0.360914, 0.234003, 0.357383
89.14, -0.360687, 0.234858, 0.354825
89.15, -0.360445, 0.235696, 0.352324
89.16, -0.360181, 0.236527, 0.349869
89.17, -0.359903, 0.237346, 0.347462
89.18, -0.359609, 0.238152, 0.345106
89.19, -0.3593, 0.238948, 0.3428
89.2, -0.358979, 0.23973, 0.340546
89.21, -0.358645, 0.240501, 0.338341
89.221, -0.3583, 0.241262, 0.336181
89.23, -0.357946, 0.242011, 0.334065
89.24, -0.357583, 0.242749, 0.331997
89.25, -0.357211, 0.243475, 0.329975
89.26, -0.356833, 0.244188, 0.328002
89.273, -0.356462, 0.244902, 0.326084
89.281, -0.35609, 0.245612, 0.32419
89.29, -0.355757, 0.246338, 0.322357
89.3, -0.355447, 0.247075, 0.320565
89.31, -0.355164, 0.247826, 0.318813
89.32, -0.354909, 0.248587, 0.317101
89.331, -0.354684, 0.249361, 0.315431
89.34, -0.354471, 0.250141, 0.31379
89.35, -0.354288, 0.250932, 0.31219
89.36, -0.354125, 0.251729, 0.310625
89.37, -0.353987, 0.252534, 0.3091
89.38, -0.353863, 0.253344, 0.307606
89.39, -0.353759, 0.254159, 0.306147
89.4, -0.353666, 0.254975, 0.304722
89.41, -0.353596, 0.255798, 0.303325
89.421, -0.353546, 0.256625, 0.301962
89.43, -0.353501, 0.257451, 0.300624
89.44, -0.353494, 0.258288, 0.29934
89.45, -0.353493, 0.25912, 0.298085
89.46, -0.353505, 0.259955, 0.296863
89.47, -0.353537, 0.260791, 0.295677
89.48, -0.353585, 0.261629, 0.294526
89.49, -0.35364, 0.262464, 0.2934
89.5, -0.353711, 0.2633, 0.292306
89.51, -0.353796, 0.264134, 0.291244
89.521, -0.353894, 0.264967, 0.290213
89.53, -0.353999, 0.265799, 0.28921
89.54, -0.354121, 0.266629, 0.288236
89.55, -0.354249, 0.267456, 0.287287
89.561, -0.354389, 0.26828, 0.286367
89.571, -0.354536, 0.269101, 0.285471
89.58, -0.354694, 0.269919, 0.2846
89.59, -0.35486, 0.270734, 0.283754
89.6, -0.355036, 0.271545, 0.282933
89.61, -0.355219, 0.272352, 0.282137
89.62, -0.355408, 0.273155, 0.281364
89.631, -0.355604, 0.273954, 0.280613
89.64, -0.355807, 0.274751, 0.27988
89.65, -0.356018, 0.275546, 0.279159
89.661, -0.356234, 0.276333, 0.278467
89.67, -0.356453, 0.277115, 0.277793
89.68, -0.356678, 0.277892, 0.277137
89.691, -0.356907, 0.278664, 0.2765
89.7, -0.357141, 0.279432, 0.275879
89.71, -0.357382, 0.280194, 0.275278
89.721, -0.357625, 0.280952, 0.274695
89.73, -0.357871, 0.281704, 0.274129
89.74, -0.358122, 0.282452, 0.273578
89.75, -0.358378, 0.283196, 0.273043
89.761, -0.358638, 0.283937, 0.272514
89.771, -0.358898, 0.284669, 0.272006
89.781, -0.359161, 0.285396, 0.271512
89.79, -0.359426, 0.286118, 0.271032
89.8, -0.359695, 0.286834, 0.270565
89.81, -0.359966, 0.287545, 0.270111
89.821, -0.360239, 0.28825, 0.269672
89.83, -0.360514, 0.28895, 0.269244
89.84, -0.360791, 0.289645, 0.268828
89.851, -0.36107, 0.290335, 0.268426
89.86, -0.361351, 0.291021, 0.268033
89.87, -0.361635, 0.291704, 0.267642
89.88, -0.361919, 0.292379, 0.267268
89.89, -0.362204, 0.293047, 0.266906
89.9, -0.36249, 0.29371, 0.266554
89.91, -0.362777, 0.294368, 0.266212
89.92, -0.363065, 0.295021, 0.265879
89.931, -0.363355, 0.295668, 0.265555
89.94, -0.363644, 0.29631, 0.265241
89.95, -0.363935, 0.296948, 0.264937
89.96, -0.364227, 0.297581, 0.264641
89.97, -0.364521, 0.29821, 0.264352
89.98, -0.364816, 0.298836, 0.264062
89.99, -0.365109, 0.299453, 0.263788
90, -0.365403, 0.300065, 0.263522
90.01, -0.365697, 0.300673, 0.263262
90.02, -0.365991, 0.301275, 0.26301
90.03, -0.366287, 0.301872, 0.262764
90.04, -0.366582, 0.302463, 0.262527
90.05, -0.366877, 0.303051, 0.262296
90.06, -0.367172, 0.303634, 0.262072
90.071, -0.367468, 0.304212, 0.261855
90.08, -0.367767, 0.304791, 0.261634
90.09, -0.368063, 0.30536, 0.261426
90.1, -0.368358, 0.305924, 0.261224
90.11, -0.368654, 0.306482, 0.261027
90.121, -0.368949, 0.307035, 0.260838
90.13, -0.369244, 0.307586, 0.260657
90.14, -0.369543, 0.308137, 0.260468
90.15, -0.369839, 0.308679, 0.260292
90.16, -0.370134, 0.309215, 0.260121
90.17, -0.370428, 0.309746, 0.259954
90.18, -0.370723, 0.310273, 0.259794
90.19, -0.371016, 0.310797, 0.259641
90.2, -0.371314, 0.311321, 0.25948
90.21, -0.371609, 0.311837, 0.259331
90.221, -0.371902, 0.312347, 0.259186
90.23, -0.372195, 0.312853, 0.259045
90.24, -0.372488, 0.313354, 0.258909
90.25, -0.372779, 0.313853, 0.258781
90.26, -0.373075, 0.314353, 0.258642
90.27, -0.373368, 0.314844, 0.258516
90.28, -0.373659, 0.31533, 0.258393
90.29, -0.373949, 0.315811, 0.258273
90.3, -0.37424, 0.316288, 0.258158
90.31, -0.374529, 0.316762, 0.25805
90.32, -0.374823, 0.317238, 0.257931
90.33, -0.375112, 0.317706, 0.257824
90.34, -0.375401, 0.318169, 0.257719
90.35, -0.375689, 0.318626, 0.257618
90.36, -0.375977, 0.31908, 0.257521
90.37, -0.376263, 0.319532, 0.25743
90.38, -0.376554, 0.319986, 0.257328
90.39, -0.376841, 0.32043, 0.257237
90.4, -0.377126, 0.320871, 0.257148
90.411, -0.377411, 0.321306, 0.257062
90.42, -0.377695, 0.321739, 0.256981
90.43, -0.377978, 0.322169, 0.256905
90.44, -0.378265, 0.322602, 0.256817
90.452, -0.378551, 0.323023, 0.256738
90.46, -0.378834, 0.323443, 0.256662
90.47, -0.379115, 0.32386, 0.256589
90.48, -0.379395, 0.32427, 0.256523
90.49, -0.379679, 0.324685, 0.256448
90.5, -0.37996, 0.325092, 0.256381
90.51, -0.380239, 0.325494, 0.256316
90.52, -0.380518, 0.325891, 0.256255
90.531, -0.380797, 0.326288, 0.2562
90.54, -0.381077, 0.326686, 0.256129
90.55, -0.381355, 0.327076, 0.25607
90.56, -0.381631, 0.327461, 0.256014
90.57, -0.381905, 0.327843, 0.255966
90.581, -0.382185, 0.328229, 0.255903
90.59, -0.38246, 0.328607, 0.25585
90.6, -0.382735, 0.328979, 0.255801
90.61, -0.383007, 0.32935, 0.255761
90.621, -0.383283, 0.329723, 0.255701
90.63, -0.383555, 0.330088, 0.255654
90.64, -0.383825, 0.330447, 0.255614
90.65, -0.3841, 0.330813, 0.255563
90.66, -0.38437, 0.331169, 0.25552
90.671, -0.384638, 0.331519, 0.255484
90.681, -0.384911, 0.331876, 0.255437
90.69, -0.38518, 0.332225, 0.255398
90.7, -0.385444, 0.332565, 0.255368
90.71, -0.385717, 0.332915, 0.25532
90.72, -0.385984, 0.333252, 0.255287
90.731, -0.38625, 0.333592, 0.255248
90.74, -0.386516, 0.333927, 0.255215
90.75, -0.386781, 0.33426, 0.255181
90.76, -0.387044, 0.33459, 0.255147
90.77, -0.38731, 0.334918, 0.255116
90.78, -0.387569, 0.33524, 0.255084
90.791, -0.387837, 0.335565, 0.255055
90.8, -0.388097, 0.335883, 0.255028
90.81, -0.388358, 0.3362, 0.255001
90.82, -0.388618, 0.336516, 0.254973
90.831, -0.388878, 0.336828, 0.254947
90.84, -0.389137, 0.337138, 0.254921
90.85, -0.389395, 0.337446, 0.254896
90.86, -0.389653, 0.337751, 0.254872
90.871, -0.38991, 0.338054, 0.254849
90.88, -0.390166, 0.338354, 0.254826
90.89, -0.390422, 0.338653, 0.254804
90.9, -0.390677, 0.338948, 0.254783
90.91, -0.390932, 0.339241, 0.254761
90.92, -0.391187, 0.339532, 0.254741
90.93, -0.39144, 0.33982, 0.254721
90.94, -0.391694, 0.340106, 0.254701
90.951, -0.391946, 0.34039, 0.254682
90.96, -0.392198, 0.340671, 0.254664
90.97, -0.392449, 0.34095, 0.254646
90.98, -0.392699, 0.341225, 0.25463
90.99, -0.39295, 0.341499, 0.254612
91, -0.393199, 0.341772, 0.254595
91.01, -0.393448, 0.34204, 0.254593
91.02, -0.393698, 0.342308, 0.254572
91.031, -0.393944, 0.342573, 0.254558
91.04, -0.394192, 0.342837, 0.254541
91.05, -0.394439, 0.343099, 0.254525
91.061, -0.394685, 0.343359, 0.254511
91.07, -0.394931, 0.343616, 0.254496
91.08, -0.395175, 0.343874, 0.254472
91.09, -0.39542, 0.344124, 0.254471
91.1, -0.395662, 0.344377, 0.254447
91.11, -0.395907, 0.344625, 0.254443
91.12, -0.396149, 0.344874, 0.254421
91.13, -0.396393, 0.345118, 0.254417
91.14, -0.396632, 0.345363, 0.254395
91.15, -0.396875, 0.345603, 0.254393
91.161, -0.397116, 0.345843, 0.254379
91.17, -0.397355, 0.346079, 0.254368
91.18, -0.397592, 0.346316, 0.254349
91.19, -0.39783, 0.34655, 0.254337
91.2, -0.398069, 0.346779, 0.254338
91.211, -0.398306, 0.34701, 0.254322
91.22, -0.398541, 0.347238, 0.254305
91.23, -0.39878, 0.347463, 0.254307
91.24, -0.399015, 0.347689, 0.254291
91.25, -0.399249, 0.347912, 0.254273
91.26, -0.399487, 0.348133, 0.254276
91.27, -0.39972, 0.348353, 0.254259
91.28, -0.399954, 0.34857, 0.25425
91.29, -0.400184, 0.348785, 0.254239
91.3, -0.400416, 0.348998, 0.254229
91.31, -0.400648, 0.34921, 0.25422
91.321, -0.400879, 0.349421, 0.254211
91.33, -0.40111, 0.349629, 0.254202
91.34, -0.40134, 0.349837, 0.254194
91.35, -0.40157, 0.350042, 0.25419
91.36, -0.401795, 0.350243, 0.254176
91.37, -0.402027, 0.350445, 0.254185
91.38, -0.402251, 0.350642, 0.254178
91.39, -0.402475, 0.350841, 0.254166
91.401, -0.402698, 0.351035, 0.25416
91.411, -0.402923, 0.351229, 0.254155
91.42, -0.403146, 0.351422, 0.254151
91.43, -0.403369, 0.351613, 0.254146
91.44, -0.403592, 0.351802, 0.25414
91.45, -0.403814, 0.351991, 0.254134
91.461, -0.404036, 0.352178, 0.254127
91.47, -0.404258, 0.352364, 0.25412
91.481, -0.40448, 0.352549, 0.254112
91.49, -0.404701, 0.352732, 0.254103
91.5, -0.404924, 0.352915, 0.254094
91.51, -0.405145, 0.353097, 0.254084
91.521, -0.405366, 0.353277, 0.254074
91.531, -0.405587, 0.353457, 0.254064
91.541, -0.405807, 0.353635, 0.254054
91.55, -0.406026, 0.353811, 0.254045
91.56, -0.406244, 0.353985, 0.254035
91.57, -0.406463, 0.354157, 0.254028
91.58, -0.406678, 0.354328, 0.254019
91.59, -0.406894, 0.354497, 0.254014
91.6, -0.407111, 0.354664, 0.254008
91.61, -0.407329, 0.35483, 0.254004
91.62, -0.407538, 0.354991, 0.253991
91.63, -0.40776, 0.355158, 0.253988
91.64, -0.407968, 0.355316, 0.253976
91.65, -0.408185, 0.355479, 0.253969
91.66, -0.408395, 0.355632, 0.253973
91.67, -0.408609, 0.355792, 0.253966
91.68, -0.408823, 0.355947, 0.253965
