time, x, y, z
24.548, -0.35103, -0.202681, 0.47657
24.558, -0.35103, -0.202681, 0.476569
24.568, -0.351544, -0.203084, 0.476418
24.579, -0.35332, -0.203603, 0.474779
24.588, -0.355328, -0.204443, 0.472783
24.599, -0.357282, -0.205167, 0.470818
24.608, -0.359154, -0.205859, 0.468869
24.618, -0.36101, -0.206548, 0.466876
24.628, -0.362876, -0.207228, 0.464812
24.638, -0.364742, -0.207902, 0.462683
24.648, -0.36605, -0.20816, 0.458115
24.658, -0.36713, -0.208221, 0.45462
24.668, -0.367994, -0.208201, 0.451304
24.678, -0.368865, -0.208167, 0.447901
24.688, -0.369771, -0.208113, 0.444415
24.698, -0.370675, -0.208044, 0.440896
24.708, -0.371562, -0.207967, 0.437362
24.719, -0.372432, -0.207891, 0.433808
24.728, -0.373286, -0.207816, 0.430232
24.738, -0.374124, -0.207741, 0.426632
24.748, -0.374945, -0.207668, 0.423011
24.759, -0.375747, -0.207594, 0.419369
24.769, -0.376552, -0.207482, 0.415707
24.778, -0.377356, -0.207332, 0.412027
24.788, -0.378161, -0.20714, 0.408331
24.798, -0.378965, -0.206908, 0.404617
24.809, -0.379769, -0.206632, 0.400888
24.818, -0.380571, -0.206318, 0.397141
24.828, -0.381371, -0.205963, 0.393378
24.838, -0.382168, -0.205564, 0.389599
24.848, -0.382965, -0.20512, 0.385805
24.859, -0.383758, -0.204632, 0.381996
24.868, -0.384545, -0.204105, 0.378174
24.878, -0.385329, -0.203534, 0.374333
24.888, -0.386107, -0.202917, 0.370481
24.898, -0.386881, -0.202257, 0.366614
24.908, -0.387648, -0.201551, 0.362735
24.918, -0.38841, -0.200795, 0.358845
24.928, -0.389164, -0.199994, 0.354945
24.939, -0.38991, -0.199148, 0.351034
24.948, -0.390648, -0.198259, 0.347106
24.958, -0.391376, -0.197322, 0.343172
24.968, -0.392096, -0.196333, 0.33923
24.979, -0.392806, -0.195297, 0.335281
24.988, -0.393502, -0.194218, 0.331327
24.998, -0.394189, -0.19309, 0.327358
25.008, -0.394864, -0.191908, 0.323387
25.019, -0.395526, -0.190679, 0.319414
25.028, -0.396171, -0.189405, 0.315443
25.038, -0.396805, -0.18808, 0.311462
25.048, -0.397422, -0.1867, 0.307479
25.059, -0.398028, -0.185272, 0.303504
25.068, -0.398608, -0.183796, 0.299529
25.078, -0.399179, -0.182271, 0.295557
25.088, -0.399731, -0.180696, 0.291587
25.098, -0.400266, -0.179063, 0.287619
25.108, -0.400777, -0.177378, 0.283668
25.118, -0.401266, -0.17564, 0.279734
25.128, -0.401732, -0.173848, 0.275823
25.138, -0.402174, -0.172009, 0.27192
25.148, -0.402593, -0.170115, 0.268036
25.158, -0.402992, -0.168165, 0.264176
25.169, -0.403368, -0.166164, 0.260345
25.179, -0.403719, -0.164115, 0.256525
25.188, -0.404047, -0.162014, 0.252731
25.198, -0.404353, -0.159861, 0.248963
25.209, -0.404638, -0.157653, 0.245233
25.219, -0.404898, -0.1554, 0.241518
25.229, -0.405136, -0.153096, 0.237834
25.239, -0.40535, -0.150742, 0.234182
25.248, -0.405544, -0.148339, 0.230569
25.258, -0.405714, -0.145887, 0.22698
25.268, -0.405864, -0.143382, 0.22343
25.279, -0.405992, -0.14083, 0.219918
25.289, -0.406096, -0.138236, 0.216446
25.298, -0.406179, -0.135593, 0.213003
25.308, -0.40624, -0.132904, 0.2096
25.318, -0.406282, -0.130166, 0.206244
25.328, -0.406303, -0.127384, 0.202937
25.338, -0.406301, -0.124562, 0.19966
25.348, -0.40628, -0.12169, 0.196431
25.359, -0.406239, -0.118776, 0.193251
25.368, -0.406176, -0.115825, 0.190113
25.378, -0.406094, -0.112831, 0.187029
25.389, -0.405993, -0.109796, 0.183987
25.398, -0.405869, -0.106726, 0.18099
25.408, -0.405729, -0.103609, 0.178047
25.418, -0.405572, -0.100453, 0.175163
25.428, -0.405398, -0.0972598, 0.17233
25.438, -0.405205, -0.0940301, 0.169552
25.448, -0.404992, -0.0907681, 0.166823
25.458, -0.404766, -0.0874673, 0.164163
25.468, -0.404523, -0.0841325, 0.161551
25.479, -0.404263, -0.0807648, 0.158995
25.488, -0.403983, -0.0773678, 0.156491
25.498, -0.403688, -0.0739385, 0.154047
25.509, -0.403379, -0.0704754, 0.151668
25.519, -0.403054, -0.066987, 0.149344
25.528, -0.402713, -0.0634691, 0.14708
25.538, -0.402358, -0.0599235, 0.144879
25.548, -0.401991, -0.056352, 0.142747
25.558, -0.401612, -0.0527511, 0.140675
25.569, -0.40122, -0.0491478, 0.138672
25.579, -0.400815, -0.0455452, 0.136741
25.588, -0.400403, -0.0419428, 0.134889
25.598, -0.399983, -0.0383412, 0.133114
25.608, -0.399556, -0.0347401, 0.131414
25.619, -0.399125, -0.0311422, 0.129794
25.628, -0.398685, -0.0275447, 0.12824
25.638, -0.39824, -0.0239522, 0.126765
25.649, -0.397791, -0.0203653, 0.125359
25.658, -0.397333, -0.0167819, 0.124014
25.668, -0.396871, -0.0132082, 0.122741
25.678, -0.396404, -0.0096426, 0.121536
25.688, -0.395929, -0.00608404, 0.12039
25.698, -0.395449, -0.00253736, 0.119309
25.708, -0.394968, 0.00100682, 0.118297
25.719, -0.394483, 0.00451996, 0.117347
25.728, -0.393992, 0.00802792, 0.116459
25.738, -0.393496, 0.0115254, 0.115623
25.748, -0.392996, 0.0150054, 0.114844
25.758, -0.392491, 0.0184703, 0.114122
25.769, -0.391985, 0.0219152, 0.11346
25.778, -0.391474, 0.0253461, 0.112849
25.788, -0.390959, 0.0287579, 0.112291
25.798, -0.390444, 0.0321474, 0.111791
25.808, -0.389926, 0.035518, 0.111342
25.818, -0.389405, 0.0388704, 0.110946
25.828, -0.38888, 0.0422019, 0.110591
25.838, -0.388352, 0.0455116, 0.110283
25.848, -0.387823, 0.048796, 0.110024
25.858, -0.387292, 0.0520585, 0.109812
25.868, -0.38676, 0.0552976, 0.109645
25.878, -0.386224, 0.0585162, 0.10952
25.888, -0.385679, 0.0617118, 0.10943
25.898, -0.385146, 0.0648754, 0.1094
25.909, -0.384603, 0.0680179, 0.109389
25.918, -0.384058, 0.0711375, 0.109424
25.928, -0.383506, 0.0742316, 0.109482
25.938, -0.382956, 0.0772977, 0.109584
25.948, -0.382404, 0.0803355, 0.109717
25.958, -0.381841, 0.0833475, 0.109862
25.968, -0.381265, 0.0863346, 0.110018
25.978, -0.380678, 0.0892912, 0.110187
25.988, -0.380078, 0.0922175, 0.110363
25.998, -0.379471, 0.0951101, 0.110555
26.008, -0.378853, 0.0979719, 0.110755
26.018, -0.378227, 0.100802, 0.11097
26.028, -0.377595, 0.103605, 0.111199
26.038, -0.376951, 0.106375, 0.111432
26.048, -0.376304, 0.109113, 0.111683
26.058, -0.375651, 0.111822, 0.111947
26.068, -0.37499, 0.114501, 0.112217
26.078, -0.374326, 0.117148, 0.112503
26.088, -0.373659, 0.119763, 0.112802
26.099, -0.372989, 0.122348, 0.113115
26.108, -0.372313, 0.124906, 0.113436
26.118, -0.371639, 0.127434, 0.113776
26.128, -0.370964, 0.129933, 0.114132
26.138, -0.370292, 0.132401, 0.114506
26.148, -0.369622, 0.134842, 0.114901
26.159, -0.368956, 0.137256, 0.115321
26.168, -0.368291, 0.139646, 0.115758
26.178, -0.367628, 0.14201, 0.116215
26.188, -0.366971, 0.144346, 0.116693
26.198, -0.366316, 0.146657, 0.117187
26.208, -0.365661, 0.148945, 0.11769
26.218, -0.365031, 0.151213, 0.118215
26.229, -0.364398, 0.15346, 0.118746
26.238, -0.363772, 0.155682, 0.119297
26.248, -0.36315, 0.15788, 0.119865
26.258, -0.362535, 0.160053, 0.12045
26.269, -0.361921, 0.162203, 0.121047
26.279, -0.361306, 0.164332, 0.121642
26.288, -0.360699, 0.166437, 0.122261
26.298, -0.360096, 0.168519, 0.122893
26.308, -0.3595, 0.170577, 0.123539
26.318, -0.358908, 0.172613, 0.124201
26.329, -0.358314, 0.174627, 0.124856
26.339, -0.357726, 0.17662, 0.12553
26.348, -0.357144, 0.178591, 0.126217
26.358, -0.356568, 0.180541, 0.126918
26.368, -0.355989, 0.18247, 0.127613
26.378, -0.355418, 0.184375, 0.128324
26.389, -0.354855, 0.18626, 0.129044
26.399, -0.35431, 0.188134, 0.129775
26.409, -0.353764, 0.189986, 0.130506
26.418, -0.353234, 0.191828, 0.131223
26.428, -0.352718, 0.193652, 0.13195
26.438, -0.352224, 0.195462, 0.132682
26.448, -0.35173, 0.197254, 0.133414
26.458, -0.351249, 0.199037, 0.134149
26.468, -0.350787, 0.200806, 0.134881
26.478, -0.350339, 0.202561, 0.135611
26.488, -0.349904, 0.204304, 0.13633
26.499, -0.349481, 0.206032, 0.137058
26.508, -0.34907, 0.207749, 0.137785
26.518, -0.348671, 0.209453, 0.138512
26.528, -0.348285, 0.211144, 0.139238
26.538, -0.347912, 0.212822, 0.139963
26.548, -0.347551, 0.214488, 0.140688
26.559, -0.347201, 0.216142, 0.141412
26.568, -0.346861, 0.217785, 0.142136
26.578, -0.346535, 0.219414, 0.142858
26.588, -0.346222, 0.221034, 0.143577
26.598, -0.345918, 0.222644, 0.144284
26.608, -0.345626, 0.224239, 0.144999
26.618, -0.345345, 0.225823, 0.145713
26.629, -0.345075, 0.227396, 0.146425
26.638, -0.344815, 0.228958, 0.147137
26.648, -0.344565, 0.23051, 0.147846
26.658, -0.344327, 0.23205, 0.148555
26.668, -0.344099, 0.23358, 0.149263
26.678, -0.343879, 0.2351, 0.14997
26.688, -0.343669, 0.23661, 0.150674
26.698, -0.343473, 0.238109, 0.151374
26.708, -0.343285, 0.239601, 0.152063
26.718, -0.343105, 0.241082, 0.152761
26.728, -0.342934, 0.242554, 0.153456
26.738, -0.342772, 0.244016, 0.15415
26.748, -0.34262, 0.24547, 0.154843
26.758, -0.342477, 0.246914, 0.155534
26.769, -0.342342, 0.248349, 0.156225
26.778, -0.342215, 0.249777, 0.156915
26.788, -0.342095, 0.251196, 0.157603
26.798, -0.341986, 0.252605, 0.158289
26.808, -0.341887, 0.254007, 0.158971
26.818, -0.341795, 0.255403, 0.159641
26.828, -0.34171, 0.256788, 0.160319
26.839, -0.341635, 0.258164, 0.160996
26.848, -0.341566, 0.259533, 0.161671
26.858, -0.341506, 0.260893, 0.162344
26.868, -0.341453, 0.262246, 0.163015
26.879, -0.341409, 0.26359, 0.163686
26.898, -0.34134, 0.266256, 0.165023
26.908, -0.341309, 0.267584, 0.16569
26.918, -0.341301, 0.268896, 0.16635
26.929, -0.341294, 0.270206, 0.166999
26.938, -0.341294, 0.271504, 0.167656
26.948, -0.341301, 0.272795, 0.168311
26.958, -0.341317, 0.274078, 0.168965
26.968, -0.341339, 0.275354, 0.169616
26.978, -0.341367, 0.276625, 0.170267
26.988, -0.341402, 0.277888, 0.170916
26.998, -0.341443, 0.279144, 0.171564
27.008, -0.341491, 0.280392, 0.172211
27.019, -0.341546, 0.281634, 0.172855
27.028, -0.341609, 0.282871, 0.173496
27.038, -0.341678, 0.284102, 0.174124
27.048, -0.341753, 0.285325, 0.17476
27.058, -0.341834, 0.28654, 0.175394
27.068, -0.341922, 0.28775, 0.176027
27.078, -0.342017, 0.288952, 0.176658
27.089, -0.342117, 0.290149, 0.177288
27.098, -0.342222, 0.29134, 0.177916
27.108, -0.342333, 0.292524, 0.178544
27.118, -0.34245, 0.293701, 0.17917
27.128, -0.342574, 0.294872, 0.179793
27.139, -0.342705, 0.296038, 0.180413
27.148, -0.342843, 0.2972, 0.18102
27.158, -0.342984, 0.298353, 0.181635
27.168, -0.343132, 0.2995, 0.182248
27.179, -0.343286, 0.300641, 0.18286
27.189, -0.343446, 0.301776, 0.18347
27.198, -0.34361, 0.302905, 0.184078
27.208, -0.343781, 0.304028, 0.184685
27.218, -0.343956, 0.305145, 0.185291
27.228, -0.344137, 0.306255, 0.185896
27.238, -0.344324, 0.307361, 0.186499
27.248, -0.344518, 0.30846, 0.187097
27.258, -0.344732, 0.309557, 0.187687
27.268, -0.344936, 0.310643, 0.188283
27.279, -0.345155, 0.311724, 0.188881
27.288, -0.345382, 0.312799, 0.18948
27.298, -0.345615, 0.313869, 0.190077
27.309, -0.345868, 0.314934, 0.190677
27.318, -0.346108, 0.315992, 0.191272
27.328, -0.34636, 0.317044, 0.191868
27.338, -0.346614, 0.31809, 0.192462
27.348, -0.346884, 0.319131, 0.193058
27.358, -0.347157, 0.320165, 0.193647
27.368, -0.347435, 0.321196, 0.194224
27.378, -0.347732, 0.32222, 0.194815
27.388, -0.348019, 0.323236, 0.1954
27.398, -0.348329, 0.324248, 0.195989
27.408, -0.348634, 0.325253, 0.196574
27.418, -0.348949, 0.326253, 0.19716
27.428, -0.349264, 0.327247, 0.197744
