time, x, y, z
19.582, -0.351011, -0.20267, 0.476531
19.592, -0.351011, -0.20267, 0.476531
19.603, -0.35101, -0.20267, 0.47653
19.612, -0.35101, -0.20267, 0.47653
19.622, -0.35101, -0.20267, 0.47653
19.633, -0.35101, -0.202669, 0.476529
19.642, -0.35101, -0.202669, 0.476529
19.652, -0.35101, -0.202669, 0.476529
19.663, -0.351009, -0.202669, 0.476528
19.673, -0.351009, -0.202669, 0.476528
19.682, -0.351009, -0.202669, 0.476528
19.692, -0.351009, -0.202669, 0.476528
19.703, -0.352487, -0.2001, 0.474309
19.712, -0.354221, -0.19842, 0.47176
19.723, -0.355986, -0.196546, 0.46925
19.732, -0.357649, -0.194624, 0.466804
19.742, -0.35927, -0.192681, 0.464389
19.752, -0.36088, -0.190713, 0.461969
19.762, -0.36248, -0.188719, 0.459546
19.773, -0.364062, -0.186697, 0.457128
19.783, -0.365627, -0.184651, 0.454715
19.792, -0.367176, -0.182578, 0.452307
19.802, -0.368708, -0.180479, 0.449902
19.812, -0.370223, -0.178352, 0.447504
19.822, -0.37172, -0.176197, 0.445112
19.832, -0.373199, -0.174017, 0.442726
19.842, -0.374661, -0.171807, 0.440347
19.852, -0.376103, -0.16957, 0.437975
19.862, -0.377528, -0.167306, 0.435609
19.872, -0.378936, -0.165014, 0.433248
19.882, -0.380324, -0.162695, 0.430895
19.892, -0.381693, -0.160346, 0.428551
19.903, -0.383042, -0.15797, 0.426215
19.912, -0.384371, -0.155566, 0.423886
19.922, -0.385682, -0.153134, 0.421564
19.932, -0.386972, -0.150673, 0.419252
19.943, -0.388241, -0.148184, 0.416949
19.952, -0.389489, -0.145668, 0.414654
19.962, -0.390718, -0.143124, 0.412367
19.972, -0.391925, -0.140551, 0.410088
19.982, -0.39311, -0.13795, 0.40782
19.992, -0.394272, -0.135321, 0.405563
20.003, -0.395412, -0.132664, 0.403316
20.012, -0.39653, -0.129979, 0.401076
20.022, -0.397626, -0.127267, 0.398846
20.032, -0.398699, -0.124528, 0.396625
20.042, -0.399749, -0.121761, 0.394415
20.052, -0.400774, -0.118965, 0.392216
20.062, -0.401775, -0.116143, 0.390028
20.072, -0.402753, -0.113294, 0.387849
20.082, -0.403705, -0.110416, 0.385683
20.093, -0.404632, -0.107512, 0.383528
20.103, -0.405534, -0.104582, 0.381384
20.113, -0.406411, -0.101624, 0.379248
20.122, -0.407262, -0.0986398, 0.377124
20.132, -0.408087, -0.0956289, 0.375012
20.142, -0.408886, -0.0925917, 0.372911
20.152, -0.409658, -0.0895268, 0.370824
20.162, -0.410402, -0.0864372, 0.368747
20.172, -0.411117, -0.0833193, 0.366688
20.182, -0.411807, -0.0801769, 0.364633
