time, x, y, z
1474.39, -0.351002, -0.202655, 0.476489
1474.4, -0.351016, -0.202631, 0.476489
1474.41, -0.351316, -0.202125, 0.476413
1474.42, -0.352669, -0.199942, 0.476176
1474.43, -0.354125, -0.197806, 0.475687
1474.44, -0.355497, -0.195849, 0.475077
1474.45, -0.356869, -0.19387, 0.47446
1474.46, -0.358241, -0.191856, 0.47385
1474.47, -0.359596, -0.189841, 0.473237
1474.48, -0.360939, -0.18782, 0.472619
1474.49, -0.362244, -0.185851, 0.47199
1474.5, -0.363527, -0.183902, 0.471347
1474.51, -0.364808, -0.181936, 0.470695
1474.52, -0.36608, -0.179961, 0.470035
1474.53, -0.367341, -0.177981, 0.469369
1474.54, -0.368592, -0.175994, 0.468696
1474.55, -0.369834, -0.173999, 0.468016
1474.56, -0.371065, -0.171997, 0.467329
1474.57, -0.372286, -0.169989, 0.466635
1474.58, -0.373497, -0.167974, 0.465935
1474.59, -0.374698, -0.165951, 0.465228
1474.6, -0.375888, -0.163922, 0.464515
1474.61, -0.377068, -0.161886, 0.463794
1474.62, -0.378237, -0.159844, 0.463068
1474.63, -0.379396, -0.157795, 0.462335
1474.64, -0.380544, -0.155739, 0.461595
1474.65, -0.38168, -0.153677, 0.460849
1474.66, -0.382806, -0.151609, 0.460097
1474.67, -0.383921, -0.149535, 0.459338
1474.68, -0.385025, -0.147454, 0.458574
1474.69, -0.386117, -0.145367, 0.457803
1474.7, -0.387198, -0.143275, 0.457026
1474.71, -0.388268, -0.141176, 0.456242
1474.72, -0.389326, -0.139071, 0.455453
1474.73, -0.390372, -0.136961, 0.454658
1474.74, -0.391407, -0.134844, 0.453857
1474.75, -0.39243, -0.132723, 0.45305
1474.76, -0.393441, -0.130595, 0.452237
1474.77, -0.394441, -0.128462, 0.451418
1474.78, -0.395428, -0.126325, 0.450594
1474.79, -0.396403, -0.12418, 0.449765
1474.8, -0.397366, -0.122032, 0.448928
1474.81, -0.398316, -0.119878, 0.448089
1474.82, -0.399255, -0.117719, 0.447241
1474.83, -0.400181, -0.115554, 0.446391
1474.84, -0.401095, -0.113386, 0.445532
1474.85, -0.401996, -0.111211, 0.444671
1474.86, -0.402885, -0.109034, 0.443801
1474.87, -0.40376, -0.10685, 0.442929
1474.88, -0.404624, -0.104662, 0.442051
1474.89, -0.405474, -0.102469, 0.441168
1474.9, -0.406311, -0.100272, 0.440282
1474.91, -0.407136, -0.0980716, 0.439387
1474.92, -0.407947, -0.0958654, 0.43849
1474.93, -0.408745, -0.093656, 0.43759
1474.94, -0.409531, -0.0914421, 0.43668
1474.95, -0.410303, -0.0892237, 0.435769
1474.96, -0.411061, -0.0870021, 0.434855
1474.97, -0.411808, -0.0847764, 0.433932
1474.98, -0.41254, -0.0825463, 0.433007
1474.99, -0.413258, -0.0803129, 0.432079
1475, -0.413964, -0.0780764, 0.431144
1475.01, -0.414656, -0.0758356, 0.430206
1475.02, -0.415334, -0.0735912, 0.429265
1475.03, -0.415998, -0.0713438, 0.42832
1475.04, -0.416648, -0.0690934, 0.427372
1475.05, -0.417286, -0.0668391, 0.426415
1475.06, -0.41791, -0.0645815, 0.425458
1475.07, -0.418519, -0.0623212, 0.424497
1475.08, -0.419114, -0.0600578, 0.423533
1475.09, -0.419695, -0.0577917, 0.422566
1475.1, -0.420264, -0.0555227, 0.421591
1475.11, -0.420818, -0.0532505, 0.420615
1475.12, -0.421358, -0.0509756, 0.419637
1475.13, -0.421883, -0.0486984, 0.418655
