x1, x2, x3, time
-0.517668, -0.006464, 0.498324, 0.000000
-0.517668, -0.006464, 0.498324, 0.004973
-0.517668, -0.006464, 0.498324, 0.010129
-0.517668, -0.006464, 0.498324, 0.015012
-0.517668, -0.006464, 0.498324, 0.019932
-0.517667, -0.006463, 0.498325, 0.024894
-0.517659, -0.006461, 0.498332, 0.030199
-0.517657, -0.006460, 0.498337, 0.034990
-0.517657, -0.006459, 0.498338, 0.039924
-0.517656, -0.006458, 0.498340, 0.044960
-0.517656, -0.006457, 0.498340, 0.049883
-0.517656, -0.006457, 0.498341, 0.054976
-0.517654, -0.006456, 0.498344, 0.059928
-0.517653, -0.006456, 0.498348, 0.064951
-0.517651, -0.006456, 0.498352, 0.069965
-0.517650, -0.006455, 0.498356, 0.074940
-0.517649, -0.006454, 0.498359, 0.079990
-0.517648, -0.006453, 0.498362, 0.084963
-0.517647, -0.006452, 0.498364, 0.089873
-0.517646, -0.006452, 0.498367, 0.094923
-0.517646, -0.006450, 0.498369, 0.099897
-0.517645, -0.006448, 0.498371, 0.104893
-0.517644, -0.006448, 0.498373, 0.110308
-0.517644, -0.006447, 0.498373, 0.114927
-0.517644, -0.006446, 0.498374, 0.119900
-0.517644, -0.006446, 0.498375, 0.124888
-0.517644, -0.006445, 0.498375, 0.130033
-0.517643, -0.006445, 0.498375, 0.135168
-0.517643, -0.006444, 0.498375, 0.139963
-0.517643, -0.006444, 0.498376, 0.144960
-0.517643, -0.006443, 0.498377, 0.149901
-0.517643, -0.006442, 0.498377, 0.154902
-0.517643, -0.006441, 0.498377, 0.160023
-0.517642, -0.006440, 0.498378, 0.164900
-0.517642, -0.006439, 0.498378, 0.169892
-0.517642, -0.006438, 0.498378, 0.174890
-0.517642, -0.006438, 0.498379, 0.179960
-0.517642, -0.006437, 0.498379, 0.184963
-0.517641, -0.006437, 0.498379, 0.190003
-0.517641, -0.006436, 0.498380, 0.195006
-0.517641, -0.006435, 0.498380, 0.199922
-0.517641, -0.006433, 0.498382, 0.204940
-0.517640, -0.006431, 0.498382, 0.210236
-0.517640, -0.006429, 0.498383, 0.214987
-0.517640, -0.006427, 0.498384, 0.219989
-0.517640, -0.006427, 0.498384, 0.225115
-0.517639, -0.006426, 0.498385, 0.230092
-0.517639, -0.006425, 0.498386, 0.234999
-0.517639, -0.006425, 0.498386, 0.239893
-0.517639, -0.006424, 0.498387, 0.244913
-0.517638, -0.006423, 0.498388, 0.249890
-0.517638, -0.006422, 0.498389, 0.254896
-0.517638, -0.006421, 0.498390, 0.259896
-0.517638, -0.006421, 0.498390, 0.264902
-0.517637, -0.006420, 0.498391, 0.269891
-0.517637, -0.006419, 0.498392, 0.274886
-0.517637, -0.006419, 0.498393, 0.279894
-0.517636, -0.006418, 0.498394, 0.284978
-0.517636, -0.006418, 0.498395, 0.289993
-0.517636, -0.006418, 0.498396, 0.294971
-0.517636, -0.006418, 0.498396, 0.299905
-0.517636, -0.006418, 0.498396, 0.304887
-0.517635, -0.006417, 0.498396, 0.309899
-0.517635, -0.006416, 0.498397, 0.314891
-0.517635, -0.006416, 0.498398, 0.319906
-0.517635, -0.006415, 0.498399, 0.324939
-0.517634, -0.006415, 0.498400, 0.329938
-0.517634, -0.006414, 0.498402, 0.334898
-0.517633, -0.006414, 0.498403, 0.339889
-0.517633, -0.006414, 0.498403, 0.344889
-0.517633, -0.006414, 0.498404, 0.350063
-0.517633, -0.006414, 0.498404, 0.355082
-0.517632, -0.006414, 0.498405, 0.360112
-0.517632, -0.006413, 0.498405, 0.365083
-0.517632, -0.006413, 0.498406, 0.370358
-0.517632, -0.006413, 0.498407, 0.375101
-0.517631, -0.006413, 0.498407, 0.380100
-0.517631, -0.006412, 0.498407, 0.384889
-0.517631, -0.006412, 0.498409, 0.389988
-0.517631, -0.006411, 0.498410, 0.395044
-0.517630, -0.006411, 0.498411, 0.399962
-0.517630, -0.006411, 0.498411, 0.404959
